category,url,alfano,clutton,carter,final
tiny houses,https://www.youtube.com/watch?v=QeHGDr81XwM,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=yPL6jOa6AH8,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=VAIs8VLFbls,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=onMbSLuC7Oc,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=AxM9FYSs8V4,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=84mKsMtb_bQ,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=xDnT28Ie1BY,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=sFudJ2yIBJE,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=5rYPRMm8Arw,1,1,2,1
tiny houses,https://www.youtube.com/watch?v=NiARHO2d3Rs,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=XkjBYgLtqaQ,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=A5pIy4F6-WE,x,x,x,x
tiny houses,https://www.youtube.com/watch?v=ionts0scA6I,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=h9hOn5_AzyA,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=ZSHBmS_GG7o,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=fS_e7XFuyt0,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=mxDSulcLpAE,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=OEGw0ZXy2Hk,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=JPCt-yCTvMA,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=BlQ3yuUmBiw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=UP4GqXQsZbU,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=9pgx_VPmJx8,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=P-e6oOyrQ04,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=QovaMj9bkc0,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=AqjRcQabs_c,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=1RVgLlrI4U4,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=j6zQgrzqOLc,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=HBDPRYjGZi4,1,1,2,1
tiny houses,https://www.youtube.com/watch?v=pQbRmMxQ0tY,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=KRWOR8ryTYY,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=n7G7p1MPWlM,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=8B6xR3T37gI,1,2,1,1
tiny houses,https://www.youtube.com/watch?v=cSDsP9JMs-g,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=dFneF74OemY,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=vdPxRl8bK_0,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=L2xSDsfjvaE,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=MLSu0Myxvr0,1,1,2,1
tiny houses,https://www.youtube.com/watch?v=_RPFT3LwqSw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=jdWc3XcJ_2A,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=GG3mbFGpCas,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=owddK_gIyPA,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=T5YlSB-zgvE,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=Bntj6OCe2_g,3,2,2,2
tiny houses,https://www.youtube.com/watch?v=uWBz9kl-hTA,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=0RWJEOScToE,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=-UOdlgd2JsU,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=eLsuwNfRU_8,1,1,2,1
tiny houses,https://www.youtube.com/watch?v=uxPdPpi5W4o,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=sauEsj8YW9M,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=nMF9CF4SJyo,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=1gG4TFhrimI,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=Ua0Z45_XZ9E,2,2,2,2
tiny houses,https://www.youtube.com/watch?v=Doyqp5Ue6XY,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=NI71-qySsrE,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=iTNJLEV8CG8,1,2,1,1
tiny houses,https://www.youtube.com/watch?v=hUhisi2FBuw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=ZYq82SMm63k,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=Oh6xGGjW5R8,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=OSuG98S8yCE,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=lnewtgCovFs,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=T7mYB6x68DY,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=qhd91cv-b90,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=UyTrkAqnkFI,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=n-K8l43sZgA,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=4ynwWift_ts,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=-9JF7Zifc-M,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=QA5fh29rhLs,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=V6ibjw_vWJ4,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=w1cPq3obfrw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=aVWJMcOptR8,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=rzXQqlbO1Rg,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=wO9gF4S1_I4,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=3-sc4rlV93g,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=Qs2s7kxZvgQ,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=LvGXer4NsEw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=HjJGjlpMfv0,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=iAgVxSXgAGw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=7sLQ-2rCdmw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=fhCv3J7hmFc,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=zwqPiZ4Wgys,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=HNTfLGt59qo,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=7OfTrpg3ZZs,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=5voBFW1fQPs,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=LUqr8MMKjxg,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=49FFwqAVxlg,1,2,1,1
tiny houses,https://www.youtube.com/watch?v=xYemnKEKx0c,1,1,2,1
tiny houses,https://www.youtube.com/watch?v=AFKG5r3qNIM,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=oMm0-6UAVpE,2,1,2,2
tiny houses,https://www.youtube.com/watch?v=O6bFWVB2BRY,1,2,1,1
tiny houses,https://www.youtube.com/watch?v=xa9HZQV0W-Q,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=zt6gCyHrF04,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=PT6cjp_zThw,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=P20_QhC3VgU,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=u_MWbZsDHC8,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=eawqY8ibqik,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=voztwgixwtg,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=IqtOoyRVQ1A,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=5JVcE8gho4k,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=zC6TkbmnU08,1,1,1,1
tiny houses,https://www.youtube.com/watch?v=eA327Mtrex8,1,1,1,1
fitness,https://www.youtube.com/watch?v=9PQW8QVxS-U,1,1,2,1
fitness,https://www.youtube.com/watch?v=s4dbHLOnTmU,1,1,1,1
fitness,https://www.youtube.com/watch?v=W5tlGJwvmCQ,1,1,1,1
fitness,https://www.youtube.com/watch?v=vuIlsN32WaE,2,1,1,1
fitness,https://www.youtube.com/watch?v=jFk-L7Wcg0g,1,1,1,1
fitness,https://www.youtube.com/watch?v=H6n3iNh4XLI,1,1,1,1
fitness,https://www.youtube.com/watch?v=PMiiOZBRwyM,1,1,2,1
fitness,https://www.youtube.com/watch?v=1RA2Zy_IZfQ,1,1,2,1
fitness,https://www.youtube.com/watch?v=xYemnKEKx0c,1,1,2,1
fitness,https://www.youtube.com/watch?v=cuIlP5uII6A,1,1,1,1
fitness,https://www.youtube.com/watch?v=FuWL9RF7rl0,1,1,1,1
fitness,https://www.youtube.com/watch?v=okM3OYaBQGg,1,1,1,1
fitness,https://www.youtube.com/watch?v=330Ufcaj1zA,1,1,1,1
fitness,https://www.youtube.com/watch?v=93b3D1rNlZs,1,1,1,1
fitness,https://www.youtube.com/watch?v=_ruRiTeX1jE,2,1,1,1
fitness,https://www.youtube.com/watch?v=A6Dkt7zyImk,1,1,1,1
fitness,https://www.youtube.com/watch?v=67Gl3s3K-iY,1,1,1,1
fitness,https://www.youtube.com/watch?v=9iE-fpyiK2g,1,1,1,1
fitness,https://www.youtube.com/watch?v=rNChOX9HJlw,1,1,1,1
fitness,https://www.youtube.com/watch?v=N6zqatiur3A,1,1,2,1
fitness,https://www.youtube.com/watch?v=l4a7MBfz-sw,1,1,1,1
fitness,https://www.youtube.com/watch?v=PKfR6bAXr-c,2,1,3,2
fitness,https://www.youtube.com/watch?v=C4Uc-cztsJo,1,1,1,1
fitness,https://www.youtube.com/watch?v=bQLPIPaRbdQ,1,1,1,1
fitness,https://www.youtube.com/watch?v=xBtqc8tpugU,1,1,1,1
fitness,https://www.youtube.com/watch?v=2uS58SvVR80,1,1,3,1
fitness,https://www.youtube.com/watch?v=gG3h749G6eY,1,1,1,1
fitness,https://www.youtube.com/watch?v=Unnvj58sP3I,1,1,1,1
fitness,https://www.youtube.com/watch?v=tIuj-oMN-Fk,1,2,2,2
fitness,https://www.youtube.com/watch?v=OC_6WqXA1ps,1,1,2,1
fitness,https://www.youtube.com/watch?v=nTWnU-AcoOE,1,1,1,1
fitness,https://www.youtube.com/watch?v=dtTIM7XEuwI,1,1,1,1
fitness,https://www.youtube.com/watch?v=P_6vDLq64gE,1,1,1,1
fitness,https://www.youtube.com/watch?v=jzdOvOukfQg,1,1,1,1
fitness,https://www.youtube.com/watch?v=k6hTa5ti35E,1,1,1,1
fitness,https://www.youtube.com/watch?v=1EcbsQVWY_4,1,1,1,1
fitness,https://www.youtube.com/watch?v=R7qSiEKntQA,1,1,1,1
fitness,https://www.youtube.com/watch?v=IW9hz1kZP2I,1,1,1,1
fitness,https://www.youtube.com/watch?v=G2A-185WViw,1,1,1,1
